P16_x1,P16_y1,P16_x2,P16_y2,P16_x3,P16_y3,,CF16_x1,CF16_y1,CF16_x2,CF16_y2,CF16_x3,CF16_y3,,F64_x1,F64_y1,F64_x2,F64_y2,F64_x3,F64_y3,,CF16_x1,CF16_y1,CF16_x2,CF16_y2,CF16_x3,CF16_y3
0,0,512,0,256,443,,0,0,512,0,256,443,,0,0,512,0,256,443,,0,0,512,0,256,443
0,0,256,0,128,221,,0,0,256,0,128,221,,0,0,256,0,128,221,,0,0,256,0,128,221
0,0,128,0,64,110,,0,0,128,0,64,110,,0,0,128,0,64,110,,0,0,128,0,64,110
0,0,64,0,32,55,,0,0,64,0,32,55,,0,0,64,0,32,55,,0,0,64,0,32,55
0,0,32,0,16,27,,0,0,32,0,16,27,,0,0,32,0,16,27,,0,0,32,0,16,27
0,0,16,0,8,13,,0,0,16,0,8,13,,0,0,16,0,8,13,,0,0,16,0,8,13
0,0,8,0,4,6,,0,0,8,0,4,6,,0,0,8,0,4,6,,0,0,8,0,4,6
0,0,4,0,2,3,,0,0,4,0,2,3,,0,0,4,0,2,3,,0,0,4,0,2,3
0,0,2,0,1,1,,0,0,2,0,1,1,,0,0,2,0,1,1,,0,0,2,0,1,1
0,0,1,0,0,0,,0,0,1,0,0,0,,0,0,1,0,0,0,,0,0,1,0,0,0
1,0,2,0,1,0,,1,0,2,0,1,0,,1,0,2,0,1,0,,1,0,2,0,1,0
0,0,1,0,1,1,,0,0,1,0,1,1,,0,0,1,0,1,1,,0,0,1,0,1,1
2,0,4,0,3,1,,2,0,4,0,3,1,,2,0,4,0,3,1,,2,0,4,0,3,1
2,0,3,0,2,0,,2,0,3,0,2,0,,2,0,3,0,2,0,,2,0,3,0,2,0
3,0,4,0,3,0,,3,0,4,0,3,0,,3,0,4,0,3,0,,3,0,4,0,3,0
2,0,3,0,3,1,,2,0,3,0,3,1,,2,0,3,0,3,1,,2,0,3,0,3,1
1,1,3,1,2,3,,1,1,3,1,2,3,,1,1,3,1,2,3,,1,1,3,1,2,3
1,1,2,1,1,2,,1,1,2,1,1,2,,1,1,2,1,1,2,,1,1,2,1,1,2
2,1,3,1,2,2,,2,1,3,1,2,2,,2,1,3,1,2,2,,2,1,3,1,2,2
1,2,2,2,2,3,,1,2,2,2,2,3,,1,2,2,2,2,3,,1,2,2,2,2,3
4,0,8,0,6,3,,4,0,8,0,6,3,,4,0,8,0,6,3,,4,0,8,0,6,3
4,0,6,0,5,1,,4,0,6,0,5,1,,4,0,6,0,5,1,,4,0,6,0,5,1
4,0,5,0,4,0,,4,0,5,0,4,0,,4,0,5,0,4,0,,4,0,5,0,4,0
5,0,6,0,5,0,,5,0,6,0,5,0,,5,0,6,0,5,0,,5,0,6,0,5,0
4,0,5,0,5,1,,4,0,5,0,5,1,,4,0,5,0,5,1,,4,0,5,0,5,1
6,0,8,0,7,1,,6,0,8,0,7,1,,6,0,8,0,7,1,,6,0,8,0,7,1
6,0,7,0,6,0,,6,0,7,0,6,0,,6,0,7,0,6,0,,6,0,7,0,6,0
7,0,8,0,7,0,,7,0,8,0,7,0,,7,0,8,0,7,0,,7,0,8,0,7,0
6,0,7,0,7,1,,6,0,7,0,7,1,,6,0,7,0,7,1,,6,0,7,0,7,1
5,1,7,1,6,3,,5,1,7,1,6,3,,5,1,7,1,6,3,,5,1,7,1,6,3
5,1,6,1,5,2,,5,1,6,1,5,2,,5,1,6,1,5,2,,5,1,6,1,5,2
6,1,7,1,6,2,,6,1,7,1,6,2,,6,1,7,1,6,2,,6,1,7,1,6,2
5,2,6,2,6,3,,5,2,6,2,6,3,,5,2,6,2,6,3,,5,2,6,2,6,3
2,3,6,3,4,6,,2,3,6,3,4,6,,2,3,6,3,4,6,,2,3,6,3,4,6
2,3,4,3,3,5,,2,3,4,3,3,5,,2,3,4,3,3,5,,2,3,4,3,3,5
2,3,3,3,2,4,,2,3,3,3,2,4,,2,3,3,3,2,4,,2,3,3,3,2,4
3,3,4,3,3,4,,3,3,4,3,3,4,,3,3,4,3,3,4,,3,3,4,3,3,4
2,4,3,4,3,5,,2,4,3,4,3,5,,2,4,3,4,3,5,,2,4,3,4,3,5
4,3,6,3,5,5,,4,3,6,3,5,5,,4,3,6,3,5,5,,4,3,6,3,5,5
4,3,5,3,4,4,,4,3,5,3,4,4,,4,3,5,3,4,4,,4,3,5,3,4,4
5,3,6,3,5,4,,5,3,6,3,5,4,,5,3,6,3,5,4,,5,3,6,3,5,4
4,4,5,4,5,5,,4,4,5,4,5,5,,4,4,5,4,5,5,,4,4,5,4,5,5
3,5,5,5,4,6,,3,5,5,5,4,6,,3,5,5,5,4,6,,3,5,5,5,4,6
3,5,4,5,3,6,,3,5,4,5,3,6,,3,5,4,5,3,6,,3,5,4,5,3,6
4,5,5,5,4,6,,4,5,5,5,4,6,,4,5,5,5,4,6,,4,5,5,5,4,6
3,6,4,6,4,6,,3,6,4,6,4,6,,3,6,4,6,4,6,,3,6,4,6,4,6
8,0,16,0,12,6,,8,0,16,0,12,6,,8,0,16,0,12,6,,8,0,16,0,12,6
8,0,12,0,10,3,,8,0,12,0,10,3,,8,0,12,0,10,3,,8,0,12,0,10,3
8,0,10,0,9,1,,8,0,10,0,9,1,,8,0,10,0,9,1,,8,0,10,0,9,1
8,0,9,0,8,0,,8,0,9,0,8,0,,8,0,9,0,8,0,,8,0,9,0,8,0
9,0,10,0,9,0,,9,0,10,0,9,0,,9,0,10,0,9,0,,9,0,10,0,9,0
8,0,9,0,9,1,,8,0,9,0,9,1,,8,0,9,0,9,1,,8,0,9,0,9,1
10,0,12,0,11,1,,10,0,12,0,11,1,,10,0,12,0,11,1,,10,0,12,0,11,1
10,0,11,0,10,0,,10,0,11,0,10,0,,10,0,11,0,10,0,,10,0,11,0,10,0
11,0,12,0,11,0,,11,0,12,0,11,0,,11,0,12,0,11,0,,11,0,12,0,11,0
10,0,11,0,11,1,,10,0,11,0,11,1,,10,0,11,0,11,1,,10,0,11,0,11,1
9,1,11,1,10,3,,9,1,11,1,10,3,,9,1,11,1,10,3,,9,1,11,1,10,3
9,1,10,1,9,2,,9,1,10,1,9,2,,9,1,10,1,9,2,,9,1,10,1,9,2
10,1,11,1,10,2,,10,1,11,1,10,2,,10,1,11,1,10,2,,10,1,11,1,10,2
9,2,10,2,10,3,,9,2,10,2,10,3,,9,2,10,2,10,3,,9,2,10,2,10,3
12,0,16,0,14,3,,12,0,16,0,14,3,,12,0,16,0,14,3,,12,0,16,0,14,3
12,0,14,0,13,1,,12,0,14,0,13,1,,12,0,14,0,13,1,,12,0,14,0,13,1
12,0,13,0,12,0,,12,0,13,0,12,0,,12,0,13,0,12,0,,12,0,13,0,12,0
13,0,14,0,13,0,,13,0,14,0,13,0,,13,0,14,0,13,0,,13,0,14,0,13,0
12,0,13,0,13,1,,12,0,13,0,13,1,,12,0,13,0,13,1,,12,0,13,0,13,1
14,0,16,0,15,1,,14,0,16,0,15,1,,14,0,16,0,15,1,,14,0,16,0,15,1
14,0,15,0,14,0,,14,0,15,0,14,0,,14,0,15,0,14,0,,14,0,15,0,14,0
15,0,16,0,15,0,,15,0,16,0,15,0,,15,0,16,0,15,0,,15,0,16,0,15,0
14,0,15,0,15,1,,14,0,15,0,15,1,,14,0,15,0,15,1,,14,0,15,0,15,1
13,1,15,1,14,3,,13,1,15,1,14,3,,13,1,15,1,14,3,,13,1,15,1,14,3
13,1,14,1,13,2,,13,1,14,1,13,2,,13,1,14,1,13,2,,13,1,14,1,13,2
14,1,15,1,14,2,,14,1,15,1,14,2,,14,1,15,1,14,2,,14,1,15,1,14,2
13,2,14,2,14,3,,13,2,14,2,14,3,,13,2,14,2,14,3,,13,2,14,2,14,3
10,3,14,3,12,6,,10,3,14,3,12,6,,10,3,14,3,12,6,,10,3,14,3,12,6
10,3,12,3,11,5,,10,3,12,3,11,5,,10,3,12,3,11,5,,10,3,12,3,11,5
10,3,11,3,10,4,,10,3,11,3,10,4,,10,3,11,3,10,4,,10,3,11,3,10,4
11,3,12,3,11,4,,11,3,12,3,11,4,,11,3,12,3,11,4,,11,3,12,3,11,4
10,4,11,4,11,5,,10,4,11,4,11,5,,10,4,11,4,11,5,,10,4,11,4,11,5
12,3,14,3,13,5,,12,3,14,3,13,5,,12,3,14,3,13,5,,12,3,14,3,13,5
12,3,13,3,12,4,,12,3,13,3,12,4,,12,3,13,3,12,4,,12,3,13,3,12,4
13,3,14,3,13,4,,13,3,14,3,13,4,,13,3,14,3,13,4,,13,3,14,3,13,4
12,4,13,4,13,5,,12,4,13,4,13,5,,12,4,13,4,13,5,,12,4,13,4,13,5
11,5,13,5,12,6,,11,5,13,5,12,6,,11,5,13,5,12,6,,11,5,13,5,12,6
11,5,12,5,11,6,,11,5,12,5,11,6,,11,5,12,5,11,6,,11,5,12,5,11,6
12,5,13,5,12,6,,12,5,13,5,12,6,,12,5,13,5,12,6,,12,5,13,5,12,6
11,6,12,6,12,6,,11,6,12,6,12,6,,11,6,12,6,12,6,,11,6,12,6,12,6
4,6,12,6,8,13,,4,6,12,6,8,13,,4,6,12,6,8,13,,4,6,12,6,8,13
4,6,8,6,6,10,,4,6,8,6,6,10,,4,6,8,6,6,10,,4,6,8,6,6,10
4,6,6,6,5,8,,4,6,6,6,5,8,,4,6,6,6,5,8,,4,6,6,6,5,8
4,6,5,6,4,7,,4,6,5,6,4,7,,4,6,5,6,4,7,,4,6,5,6,4,7
5,6,6,6,5,7,,5,6,6,6,5,7,,5,6,6,6,5,7,,5,6,6,6,5,7
4,7,5,7,5,8,,4,7,5,7,5,8,,4,7,5,7,5,8,,4,7,5,7,5,8
6,6,8,6,7,8,,6,6,8,6,7,8,,6,6,8,6,7,8,,6,6,8,6,7,8
6,6,7,6,6,7,,6,6,7,6,6,7,,6,6,7,6,6,7,,6,6,7,6,6,7
7,6,8,6,7,7,,7,6,8,6,7,7,,7,6,8,6,7,7,,7,6,8,6,7,7
6,7,7,7,7,8,,6,7,7,7,7,8,,6,7,7,7,7,8,,6,7,7,7,7,8
5,8,7,8,6,10,,5,8,7,8,6,10,,5,8,7,8,6,10,,5,8,7,8,6,10
5,8,6,8,5,9,,5,8,6,8,5,9,,5,8,6,8,5,9,,5,8,6,8,5,9
6,8,7,8,6,9,,6,8,7,8,6,9,,6,8,7,8,6,9,,6,8,7,8,6,9
5,9,6,9,6,10,,5,9,6,9,6,10,,5,9,6,9,6,10,,5,9,6,9,6,10
8,6,12,6,10,10,,8,6,12,6,10,10,,8,6,12,6,10,10,,8,6,12,6,10,10
8,6,10,6,9,8,,8,6,10,6,9,8,,8,6,10,6,9,8,,8,6,10,6,9,8
8,6,9,6,8,7,,8,6,9,6,8,7,,8,6,9,6,8,7,,8,6,9,6,8,7
9,6,10,6,9,7,,9,6,10,6,9,7,,9,6,10,6,9,7,,9,6,10,6,9,7
8,7,9,7,9,8,,8,7,9,7,9,8,,8,7,9,7,9,8,,8,7,9,7,9,8
10,6,12,6,11,8,,10,6,12,6,11,8,,10,6,12,6,11,8,,10,6,12,6,11,8
10,6,11,6,10,7,,10,6,11,6,10,7,,10,6,11,6,10,7,,10,6,11,6,10,7
11,6,12,6,11,7,,11,6,12,6,11,7,,11,6,12,6,11,7,,11,6,12,6,11,7
10,7,11,7,11,8,,10,7,11,7,11,8,,10,7,11,7,11,8,,10,7,11,7,11,8
9,8,11,8,10,10,,9,8,11,8,10,10,,9,8,11,8,10,10,,9,8,11,8,10,10
9,8,10,8,9,9,,9,8,10,8,9,9,,9,8,10,8,9,9,,9,8,10,8,9,9
10,8,11,8,10,9,,10,8,11,8,10,9,,10,8,11,8,10,9,,10,8,11,8,10,9
9,9,10,9,10,10,,9,9,10,9,10,10,,9,9,10,9,10,10,,9,9,10,9,10,10
6,10,10,10,8,13,,6,10,10,10,8,13,,6,10,10,10,8,13,,6,10,10,10,8,13
6,10,8,10,7,12,,6,10,8,10,7,12,,6,10,8,10,7,12,,6,10,8,10,7,12
6,10,7,10,6,11,,6,10,7,10,6,11,,6,10,7,10,6,11,,6,10,7,10,6,11
7,10,8,10,7,11,,7,10,8,10,7,11,,7,10,8,10,7,11,,7,10,8,10,7,11
6,11,7,11,7,12,,6,11,7,11,7,12,,6,11,7,11,7,12,,6,11,7,11,7,12
8,10,10,10,9,12,,8,10,10,10,9,12,,8,10,10,10,9,12,,8,10,10,10,9,12
8,10,9,10,8,11,,8,10,9,10,8,11,,8,10,9,10,8,11,,8,10,9,10,8,11
9,10,10,10,9,11,,9,10,10,10,9,11,,9,10,10,10,9,11,,9,10,10,10,9,11
8,11,9,11,9,12,,8,11,9,11,9,12,,8,11,9,11,9,12,,8,11,9,11,9,12
7,12,9,12,8,13,,7,12,9,12,8,13,,7,12,9,12,8,13,,7,12,9,12,8,13
7,12,8,12,7,12,,7,12,8,12,7,12,,7,12,8,12,7,12,,7,12,8,12,7,12
8,12,9,12,8,12,,8,12,9,12,8,12,,8,12,9,12,8,12,,8,12,9,12,8,12
7,12,8,12,8,13,,7,12,8,12,8,13,,7,12,8,12,8,13,,7,12,8,12,8,13
16,0,32,0,24,13,,16,0,32,0,24,13,,16,0,32,0,24,13,,16,0,32,0,24,13
16,0,24,0,20,6,,16,0,24,0,20,6,,16,0,24,0,20,6,,16,0,24,0,20,6
16,0,20,0,18,3,,16,0,20,0,18,3,,16,0,20,0,18,3,,16,0,20,0,18,3
